Jeux,Description,Sortie,Test,Avis
Dragon Quest : L'Odyssée du Roi Maudit,"Dragon Quest : L'Odyssée du Roi Maudit est un jeu de rôle dans lequel le joueur part à la recherche d'un remède pour le roi Trode, transformé en crapaud par une malédiction. Accompagné de ses compagnons, il devra parcourir le monde pour sauver le royaume pétrifié.",13 avril 2006,19/20,18.5/20
Resident Evil 4,"Faisant virer la série vers le jeu d'action, Resident Evil 4 est un survival-horror dans lequel le joueur incarne Leon S. Kennedy. Ce dernier est à la recherche d'Ashley, la fille du président des USA, qui est détenue par des terroristes aux plans peu louables. L'action se déroule dans un petit village espagnol reculé, alors que la population semble se comporter de façon étrange et particulièrement agressive...",18 mars 2005,19/20,18.7/20
Super Mario Galaxy 2,"Jeu de plates-formes, Super Mario Galaxy 2 réintroduit Mario dans une nouvelle aventure qui prend place confins de l'espace. Mario défie à nouveau la loi de la gravité pour partir explorer une myriade de planètes inédites. Yoshi fait également son grand retour dans cet épisode qui renferme par moins de 240 étoiles à dénicher, le challenge ayant été revu à la hausse pour séduire les inconditionnels de la série.",11 juin 2010,19/20,18.4/20
Ether One,"Ether One est un jeu d'aventure psychologique. Le joueur y découvre une histoire présentant de multiples possibilités suivant la voie qu'il décidera de prendre. La frontière entre réalité et fiction, ainsi que le thème de la folie sont au centre de cette aventure particulière.",25 mars 2014,19/20,11.1/20
Donkey Kong Country,"Dans Donkey Kong Country, vous incarnez le célèbre gorille de Nintendo. Le King K. Rool a volé les bananes de Donkey qui décide alors de partir à sa recherche pour les récupérer. Deux personnages sont jouables, Donkey est plus grand et plus fort, alors que Diddy est plus rapide. Il est possible de jouer à deux, soit chacun son tour, soit en équipe. Des animaux vous aideront à franchir certains niveaux et à vaincre les Kremlings.",1994,19/20,18.6/20
Monkey Island 2 : LeChuck's Revenge,"Tout fier d'avoir vaincu le pirate fantôme LeChuck, Guybrush Threepwood repart à l'assaut d'une aventure pleine de rebondissements pour tenter de trouver le fabuleux trésor de Big Whoop. Mais son ennemi refait surface et lui met de nouveaux bâtons dans les roues.",1991,19/20,19.4/20
Metroid Prime sur NGC,"Metroid Prime est un jeu d'action en vue à la première personne qui vous met dans la peau de la célèbre chasseuse de primes, Samus. Une matière inconnue du nom de Phazon s'écrase sur la planète Tallon IV et y détruit la faune et la flore. Des pirates de l'espace tentent de contrôler le Phazon, Samus essaie de les en empêcher.",21 mars 2003,19/20,18.6/20
Tales of Symphonia,"Dans Tales of Symphonia, le joueur suit une équipe de huit personnages, Lloyd Irving en tête, dans leur quête pour sauver le monde. Ce jeu de rôle est jouable en combat jusqu'à quatre et propose une longue histoire et un vaste univers à explorer, ainsi que de nombreuses quêtes annexes.",19 novembre 2004,19/20,19/20
Dishonored,"Dishonored est un jeu d'infiltration et d'action dans lequel le joueur incarne Corvo, un ancien garde du corps. Celui-ci est mis en prison, accusé du meurtre de l'impératrice qu'il protégeait, et doit utiliser tous ses talents pour dévoiler le complot monté contre lui.",9 octobre 2012,19/20,17.2/20
Metal Gear Solid 2 : Sons of Liberty sur PS2,"MGS2 : Sons of Liberty est un jeu d'infiltration/action sorti sur PS2. Dans cet opus le joueur incarne Snake puis Raiden dans une lutte contre la prolifération du Metal Gear. Equipé de divers armes et gadgets, il doit s'infiltrer pour arriver au but, mais libre à lui d'utiliser la manière forte. S'enchaînent alors phases d'infiltration, d'action, de boss. Le scénario dense comte de nombreuses cinématiques pour un jeu très proche du 7ème art.",8 mars 2002,19/20,17.8/20
Metal Gear Solid 3 Subsistence sur PS2,"MGS3 Subsistance est une version étendue du titre original Snake Eater. Tenant sur trois DVDs, le jeu propose un nouveau système de caméra libre, un mode de jeu online, une réédition des épisodes sortis sur MSX et un film de plus de 3 heures retraçant l'ensemble du scénario. Divers autres bonus sont aussi présents pour cette réédition d'un des plus grands classiques de la PS2.",5 octobre 2006,19/20,19.4/20
Diablo,Diablo sur PC est un hack'n slash dans lequel vous incarnez un personnage à choisir parmi trois classes. Votre but est d'explorer les souterrains d'un château en exterminant les monstres qui s'y trouvent afin d'accumuler de l'expérience et des objets pour devenir de plus en plus fort. Avancez et débusquez le mal au fond de sa tanière : éliminez Diablo pour récupérer la pierre d'âme et ainsi contenir le fléau qui ronge le monde.,30 novembre 1996,19/20,17.9/20
Conker's Bad Fur Day sur N64,"Conker's Bad Fur Day sur Nintendo 64 est un jeu de plates-formes mettant en scène un écureuil avec une gueule de bois du tonnerre qui va tenter de rentrer chez lui après une soirée agitée. Evoluez dans un univers caricatural où se mêlent violence, obscénités et parodies.",30 mai 2001,19/20,18.8/20
Bayonetta,"Bayonetta est un Beat'em all mettant en scène la puissante et magnifique sorcière du même nom. Celle-ci doit combattre de nombreux ennemis, souvent colossaux, envoyés par le ciel dans des mises en scène particulièrement impressionnantes.",8 janvier 2010,19/20,18/20
Baten Kaitos sur NGC,Baten Kaitos est un jeu de rôle sur Gamecube où vous dirigez un groupe de héros dont le destin est de sauver le monde. Nous sommes à une époque où la Terre et l'Océan ne sont plus que des légendes. De vastes îles lévitant très haut dans le Ciel ont pris la place des continents. Les créatures seront nombreuses sur votre route mais vous pourrez les battre en vous frayant un chemin grâce à un système de combat original et novateur basé sur des cartes.,1er avril 2005,19/20,18.2/20
Steins : Gate,"Steins : Gate est un roman virtuel sur PC. Au Japon, une bande d'amis résidant dans le quartier branché d'Akihabara a trouvé le moyen de communiquer avec le passé grâce à leur téléphone portable. Mais dans le même temps, la SERN, une société diabolique, est en train de chercher un moyen de voyager dans le passé. Cette organisation va alors prendre en chasse les jeunes étudiants afin de s'approprier leur secret.",23 juin 2011,19/20,17.7/20
Minecraft,"Jeu bac à sable indépendant et pixelisé dont le monde infini est généré aléatoirement, Minecraft permet au joueur de récolter divers matériaux, d'élever des animaux et de modifier le terrain selon ses choix, en solo ou en multi (via des serveurs). Il doit également survivre en se procurant de la nourriture et en se protégeant des monstres qui apparaissent la nuit et dans des donjons. Il peut également monter de niveau afin d'acheter des enchantements.",18 novembre 2011,19/20,18.5/20
Quake III Arena,"Quake III Arena sur PC est un jeu de tir à la première personne orienté multijoueur. Un arsenal varié et complet est à votre disposition pour organiser une joyeuse boucherie seul ou par équipe. Les modes classiques du genre sont tous là (Capture The Flag, Possession, Deathmatch...).",15 décembre 1999,19/20,17.2/20
Quake II,"Quake II est un jeu de tir sur PC. En tant que Marine, votre mission est de lancer une contre-attaque sur la planète Stroggos, afin d'enrailler la menace Strogg. Votre principal objectif sera de détruire un canon orbital afin de permettre un bombardement terrestre massif. Bienvenue dans l'enfer poisseux et terrifiant de Stroggos.",1997,19/20,17.3/20
Super Mario World 2 : Yoshi's Island sur SNES,"Super Mario World 2 : Yoshi's Island sur Super Nintendo nous fait découvrir l'origine des frères Mario et Luigi. Alors qu'une cigogne amène les deux bébés à leurs parents, le sorcier Kamek la heurte afin de l'empêcher d'arriver à destination car il a prédit que Mario et Luigi poseraient problème à son maître Bowser dans le futur. Kamek arrive à kidnapper Luigi mais Mario échoue sur l'île des Yoshis. Ces derniers s'organisent pour que Mario retrouve son frère.",6 octobre 1995,19/20,18.8/20
Tetris,Tetris sur PC est le célèbre puzzle-game dans lequel vous devez empiler des briques afin de constituer des lignes qui s'effaceront au fur et à mesure de votre progression. La difficulté augmente au fil de votre avancée.,1987,19/20,18.7/20
Panzer Dragoon II Zwei sur Saturn,Panzer Dragoon II Zwei est un jeu de tir sur Saturn. Chevauchez un bébé dragon qui grandira tout au long des parcours que vous choisirez. Evoluez dans des univers 3D et accédez à des boss gigantesques.,1996,19/20,17/20
Outcast sur PC,"Outcast est un jeu d'action / aventure. L'existence des mondes parallèles a été découverte, mais une expérience ratée avec une sonde a engendré un contrecoup énergétique dans notre monde, qui menace d'engloutir toute la planète en quelques jours. Vous avez donc été choisi pour aller récupérer la sonde dans l'autre monde.",Juin 1999,19/20,18.7/20
Sega Rally Championship,"Sega Rally Championship sur PC est un jeu de courses/rallye. Lui-aussi adapté de sa version arcade (comme beaucoup d'autres titres de la série), le soft propose des courses nerveuses avec deux bolides différents (plus deux à déverrouiller) et demande une maîtrise du dérapage pour terminer en tête, particulièrement dans un duel en ligne.",26 janvier 1996,19/20,17.2/20
Portal 2,"Portal 2, suite du premier opus du même nom, est un jeu de réflexion en vue FPS. Shell, l’héroïne, doit une fois de plus essayer de s'échapper du complexe d'Aperture Science en utilisant le Portal Gun, sorte de pistolet permettant de créer des portails. GlaDOS est de retour, mais on découvre aussi de nouveaux personnages comme Weathley. Un mode deux joueurs est également disponible.",19 avril 2011,19/20,18.9/20
Okami,"Okami est un jeu d'aventure et d'action. Le titre dispose d'un aspect graphique très particulier, et vous propose d'incarner la déesse Amaterasu réincarnée en un magnifique loup blanc, dans une quête pour redonner de la vie et de la couleur dans votre monde, terrorisé par de nombreux ennemis qui font régner les ténèbres. Battez-vous au moyen d'un pinceau, véritable prolongement du personnage qu'on incarne, et utilisez-le également pour avancer dans l'histoire.",8 février 2007,19/20,19/20
The Walking Dead : Episode 5 - No Time Left,"The Walking Dead : Episode 5 - No Time Left pour PC est le cinquième épisode du jeu vidéo, inspiré du comic du même nom. On y retrouve Lee dans la ville de Savannah, ce dernier partant à la rescousse de Clémentine qui a été capturée...",21 novembre 2012,19/20,18.1/20
Super Mario Bros. 3,"Retrouvez le célèbre plombier à moustaches et salopette dans Super Mario Bros. 3. Bondissez de part en part pour sauver le Royaume Champignon et mettez à profit les nouvelles capacités de Mario : volez grâce au costume de raton laveur, nagez avec celui de la grenouille, crachez des boules de feu avec la fleur et rendez-vous invincible aveccelui du tanuki ! Parcourez huit mondes gigantesques, seul ou à deux, en coopération ou en affrontement, et retrouvez Bowser pour lui faire payer son énième forfait.",29 août 1991,19/20,18.8/20
Rayman 2 : The Great Escape,"Rayman 2 : The Great Escape sur PC est un classique du jeu de plates-formes en 3D. Vous incarnez le célèbre personnage sans bras, ni cou, ni jambes, sorti de l'imagination de Michel Ancel. Armé de vos poings, vous devez débarrasser le monde des robots-pirates. Le jeu est d'une grande richesse et regorge de surprises.",22 octobre 1999,19/20,18.4/20
The Legend of Zelda,"The Legend of Zelda sur Wii vous présente la première aventure du jeune Link. Débutez votre périple dans le fantastique monde d'Hyrule. A l'aide de votre épée, de votre bouclier et de votre intelligence, retrouvez les huit fragments de la Triforce et sauvez la princesse Zelda.",15 novembre 1987,19/20,17.9/20
EverQuest : The Ruins of Kunark sur PC,"The Ruins of Kunark est la première extension du jeu de rôle massivement multijoueur Everquest, sur PC. Autrefois puissant, l'empire des hommes-lézards est sur le déclin. Leurs villes tombent en ruine et sont désormais habitées par des monstres exotiques. Le continent de Kunark est alors envahi par des elfes qui cherchent à l'exploiter.",27 avril 2000,19/20,16.9/20
Final Fantasy XII sur PS2,"Jeu de rôle, Final Fantasy XII est le douzième volet de la série. Il se différencie de ses prédécesseurs à travers une nouvelle approche des combats plus dynamique, vous permettant d'être plus libre de vos mouvements. Parcourez le vaste monde du titre pour découvrir une histoire riche en rebondissements et en magie.",22 février 2007,19/20,17.2/20
